Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A20N at Amritsar on Feb 5th 2023, engine shut down in flight",A20N,VT-ISE,6E-5926,Feb 5th 2023,Amritsar,Amritsar,Kolkata,engine shut down in flight,Incident,"Jan 20, 2026","An Indigo Airbus A320-200N, registration VT-ISE performing flight 6E-5926 from Amritsar to Kolkata (India) with 122 passengers and 6 crew, was…"
"Indigo A21N at Gorakhpur on Jan 11th 2026, bird strike",A21N,VT-IMR,6E-437,Jan 11th 2026,Gorakhpur,Gorakhpur,Bangalore,bird strike,Incident,"Jan 12, 2026","An Indigo Airbus A321-200N, registration VT-IMR performing flight 6E-437 from Gorakhpur to Bangalore (India) with 216 people on board, was climbing…"
"Indigo AT72 at Ranchi on Dec 12th 2025, tail strike on landing",AT72,VT-IRN,6E-7361,Dec 12th 2025,Ranchi,Bhubaneswar,Ranchi,tail strike on landing,Accident,"Dec 13, 2025","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IRN performing flight 6E-7361 from Bhubaneswar to Ranchi (India) with 56 people…"
"Indigo B789 at Amsterdam on Nov 26th 2026, technical issue with landing gear",B789,LN-LNR,6E-22,Nov 26th 2026,Amsterdam,Amsterdam,Mumbai,technical issue with landing gear,Incident,"Nov 26, 2025","An Indigo Boeing 787-9, registration LN-LNR performing flight 6E-22 from Amsterdam (Netherlands) to Mumbai (India), was climbing out of Amsterdam's…"
"Indigo A20N near Varanasi on Oct 22nd 2025, fuel leak",A20N,VT-ITR,6E-6961,Oct 22nd 2025,Varanasi,Kolkata,Srinagar,fuel leak,Incident,"Oct 22, 2025","An Indigo Airbus A320-200N, registration VT-ITR performing flight 6E-6961 from Kolkata to Srinagar (India) with 166 people on board, was enroute at…"
"Indigo AT72 at Chennai on Oct 10th 2025, cracked windshield",AT72,VT-IYP,6E-7253,Oct 10th 2025,Chennai,Madurai,Chennai,cracked windshield,Incident,"Oct 12, 2025","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IYP performing flight 6E-7253 from Madurai to Chennai (India) with 76 people on…"
"Indigo A21N at Vishakhapatnam on Sep 9th 2025, severe engine vibrations",A21N,VT-IUV,6E-2776,Sep 9th 2025,Vishakhapatnam,Vishakhapatnam,Delhi,severe engine vibrations,Incident,"Sep 15, 2025","An Indigo Airbus A321-200N, registration VT-IUV performing flight 6E-2776 from Vishakhapatnam to Delhi (India), was climbing out of Vishakhapatnam's…"
"Indigo A320 at Lucknow on Sep 13th 2025, rejected takeoff due to engine trouble",A320,VT-IFI,6E-2111,Sep 13th 2025,Lucknow,Lucknow,Delhi,rejected takeoff due to engine trouble,Incident,"Sep 14, 2025","An Indigo Airbus A320-200, registration VT-IFI performing flight 6E-2111 from Lucknow to Delhi (India) with 151 people on board, was accelerating for…"
"Indigo A21N at Mumbai on Aug 16th 2025, tail strike on go around",A21N,VT-ICM,6E-1060,Aug 16th 2025,Mumbai,Bangkok,Mumbai,tail strike on go around,Accident,"Aug 16, 2025","An Indigo Airbus A321-200N, registration VT-ICM performing flight 6E-1060 (dep Aug 15th) from Bangkok (Thailand) to Mumbai (India), was landing on…"
"Indigo A20N at Singapore on Aug 8th 2025, locked flaps",A20N,VT-IZE,6E-1007,Aug 8th 2025,Singapore,Tiruchirapalli,Singapore,locked flaps,Incident,"Aug 10, 2025","An Indigo Airbus A320-200N, registration VT-IZE performing flight 6E-1007 (dep Aug 7th) from Tiruchirapalli (India) to Singapore (Singapore), was…"
"Indigo AT72 at Chennai on Aug 6th 2025, rejected takeoff due to engine problem",AT72,VT-IRB,6E-7298,Aug 6th 2025,Chennai,Chennai,Tiruchirappalli,rejected takeoff due to engine problem,Incident,"Aug 6, 2025","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IRB performing flight 6E-7298 from Chennai to Tiruchirappalli (India) with 68…"
"Indigo AT72 at Ahmedabad on Jul 23rd 2025, rejected takeoff due to engine fire indication",AT72,VT-IYA,6E-7966,Jul 23rd 2025,Ahmedabad,Ahmedabad,Diu,rejected takeoff due to engine fire indication,Incident,"Jul 23, 2025","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IYA performing flight 6E-7966 from Ahmedabad to Diu (India) with 70 people on…"
"Indigo A20N at Indore on Jul 21st 2025, hydraulic problem",A20N,VT-IIR,6E-813,Jul 21st 2025,Indore,Goa,Indore,hydraulic problem,Incident,"Jul 22, 2025","An Indigo Airbus A320-200N, registration VT-IIR performing flight 6E-813 from Goa to Indore (India) with 140 people on board, was on approach to…"
"Indigo A20N near Mumbai on Jul 16th 2025, engine shut down in flight",A20N,VT-IZB,6E-6271,Jul 16th 2025,Mumbai,Delhi,Goa,engine shut down in flight,Incident,"Jul 16, 2025","An Indigo Airbus A320-200N, registration VT-IZB performing flight 6E-6271 from Delhi to Goa (India) with 173 people on board, was enroute at FL340…"
"Indigo AT72 at Hubli on Jun 14th 2021, burst tyres on landing",AT72,VT-IYX,6E-7979,Jun 14th 2021,Hubli,Kannur,Hubli,burst tyres on landing,Accident,"Jul 11, 2025","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IYX performing flight 6E-7979 from Kannur to Hubli (India) with 7 passengers and…"
"Indigo A20N at Chennai on Jun 14th 2025, tail strike on landing",A20N,VT-IPZ,6E-6174,Jun 14th 2025,Chennai,Hyderabad,Chennai,tail strike on landing,Accident,"Jun 16, 2025","An Indigo Airbus A320-200N, registration VT-IPZ performing flight 6E-6174 from Hyderabad to Chennai (India), landed on Chennai's runway 25 at 23:21L…"
"Indigo A320 at Kolkata on Jun 8th 2025, rejected takeoff due to engine failure",A320,VT-IAX,6E-245,Jun 8th 2025,Kolkata,Kolkata,Ahmedabad,rejected takeoff due to engine failure,Incident,"Jun 9, 2025","An Indigo Airbus A320-200, registration VT-IAX performing flight 6E-245 from Kolkata to Ahmedabad (India), was accelerating for takeoff from…"
"Indigo A20N at Ranchi on Jun 2nd 2025, bird strike",A20N,VT-IZH,6E-6902,Jun 2nd 2025,Ranchi,Patna,Ranchi,bird strike,Incident,"Jun 2, 2025","An Indigo Airbus A320-200N, registration VT-IZH performing flight 6E-6902 from Patna to Ranchi (India) with 175 people on board, was on approach to…"
"Indigo A21N at Srinagar on May 21st 2025, hail strike",A21N,VT-IMD,6E-2142,May 21st 2025,Srinagar,Delhi,Srinagar,hail strike,Incident,"May 24, 2025","An Indigo Airbus A321-200N, registration VT-IMD performing flight 6E-2142 from Delhi to Srinagar (India) with 227 people on board, was descending…"
"Indigo AT72 at Chandigarh on May 2nd 2025, both engines temporarily flamed out",AT72,VT-IRA,6E-7742,May 2nd 2025,Chandigarh,Jaipur,Chandigarh,both engines temporarily flamed out,Incident,"May 3, 2025","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IRA performing flight 6E-7742 from Jaipur to Chandigarh (India), was descending…"
"Indigo A21N at Chennai on Mar 8th 2025, tail strike on landing",A21N,VT-IBI,6E-5325,Mar 8th 2025,Chennai,Mumbai,Chennai,tail strike on landing,Accident,"Mar 12, 2025","An Indigo Airbus A321-200N, registration VT-IBI performing flight 6E-5325 from Mumbai to Chennai (India) with 186 people on board, landed on…"
"Indigo A21N at Delhi on Sep 9th 2024, tailstrike on departure, flight continued to destination",A21N,VT-IBI,6E-6054,Sep 9th 2024,Delhi,Delhi,Bangalore,"tailstrike on departure, flight continued to destination",Accident,"Oct 5, 2024","An Indigo Airbus A321-200N, registration VT-IBI performing flight 6E-6054 from Delhi to Bangalore (India), departed Delhi's runway 09 but struck its…"
"Indigo A20N near Lucknow on Jul 12th 2024, engine shut down in flight",A20N,VT-IZI,6E-5194,Jul 12th 2024,Lucknow,Gorakhpur,Mumbai,engine shut down in flight,Incident,"Jul 16, 2024","An Indigo Airbus A320-200N, registration VT-IZI performing flight 6E-5194 from Gorakhpur to Mumbai (India) with 186 passengers and 6 crew, was…"
